id,label
31336,Class_2
1061127,Class_0
1106406,Class_4
13195,Class_4
37879,Class_6
1126012,Class_6
1107140,Class_5
1102850,Class_2
31349,Class_2
1106418,Class_5
1123188,Class_2
1128990,Class_1
109323,Class_6
217139,Class_3
31353,Class_2
32083,Class_2
1126029,Class_4
1118017,Class_2
49482,Class_2
753265,Class_2
249858,Class_5
1113739,Class_4
48766,Class_1
646195,Class_6
1126050,Class_4
59626,Class_5
340299,Class_2
354004,Class_6
242637,Class_2
1106492,Class_0
74975,Class_3
1152272,Class_2
100701,Class_3
66982,Class_2
13960,Class_4
13966,Class_4
66990,Class_2
182093,Class_4
182094,Class_1
13972,Class_4
13982,Class_5
16819,Class_6
273152,Class_1
237521,Class_2
1153703,Class_3
32872,Class_4
284025,Class_2
218666,Class_3
16843,Class_6
1153724,Class_3
1153728,Class_3
158098,Class_6
8699,Class_5
1134865,Class_1
28456,Class_5
248425,Class_1
1112319,Class_5
28471,Class_4
175548,Class_2
696345,Class_2
28485,Class_4
1139195,Class_3
35778,Class_6
28491,Class_4
310530,Class_3
1153784,Class_1
1481,Class_3
1153786,Class_6
13212,Class_2
1111614,Class_3
5055,Class_5
4329,Class_6
330148,Class_2
1105062,Class_4
4332,Class_6
5062,Class_3
4335,Class_6
158812,Class_2
40124,Class_5
1103610,Class_5
688361,Class_2
302545,Class_6
20534,Class_4
1031453,Class_2
5086,Class_6
193742,Class_4
58268,Class_0
424,Class_0
40151,Class_5
636098,Class_5
260121,Class_2
950052,Class_2
434,Class_4
1131270,Class_6
1131274,Class_6
1131277,Class_6
1110947,Class_3
662279,Class_2
1139928,Class_5
153063,Class_6
134199,Class_1
641956,Class_2
20584,Class_2
1130567,Class_4
171225,Class_2
714879,Class_6
37998,Class_0
50336,Class_6
50337,Class_6
15429,Class_5
23448,Class_2
1122574,Class_2
1110998,Class_2
853150,Class_2
15431,Class_5
646286,Class_6
1152307,Class_3
1115291,Class_6
1106547,Class_4
68463,Class_0
59715,Class_1
69198,Class_2
7272,Class_2
163235,Class_2
7276,Class_2
34315,Class_2
644843,Class_6
7297,Class_2
628815,Class_4
35061,Class_1
68495,Class_5
1136310,Class_6
18313,Class_4
34355,Class_2
45212,Class_2
1153091,Class_0
8703,Class_0
126920,Class_6
126927,Class_6
595157,Class_1
140005,Class_5
1117476,Class_1
59798,Class_2
219446,Class_2
44514,Class_2
287787,Class_1
157401,Class_2
1154500,Class_3
682666,Class_4
399173,Class_3
198866,Class_3
51834,Class_5
200630,Class_2
782486,Class_2
1136393,Class_2
137849,Class_6
1153811,Class_0
24966,Class_5
11148,Class_0
51866,Class_5
24974,Class_2
137868,Class_6
28542,Class_4
73,Class_1
116021,Class_5
348305,Class_0
10430,Class_3
39403,Class_4
298,Class_1
282700,Class_2
1105116,Class_6
35854,Class_5
63477,Class_3
124064,Class_4
1120431,Class_2
949318,Class_2
649944,Class_0
63486,Class_5
1153866,Class_0
1140040,Class_2
1112426,Class_2
239800,Class_5
1131314,Class_6
1153891,Class_3
1129835,Class_0
310653,Class_6
1130600,Class_4
1111733,Class_2
210871,Class_1
210872,Class_1
1132083,Class_2
132806,Class_1
12631,Class_2
12638,Class_2
38771,Class_2
232605,Class_0
232606,Class_0
1107312,Class_4
1114605,Class_2
68505,Class_5
